"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Management Studies / Science,11,0,0,1,5,3,2,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Mathematical Studies,25,0,1,4,5,9,4,2,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Mathematics (Further),10,0,0,2,3,2,1,1,1
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Other Languages,35,0,0,3,15,8,8,1,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Physics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Psychology,7,0,0,2,1,0,3,0,1
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Sociology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Sociology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Theatre Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Untranslated Literature,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Untranslated Literature,36,0,0,3,11,14,8,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Visual Arts,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Biology,6,0,0,0,1,2,2,1,0
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Design & Technology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Design & Technology,6,0,1,1,3,1,0,0,0
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Economics,8,0,1,0,4,1,1,0,1
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Economics,7,0,1,0,2,2,0,1,1
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,History,6,0,0,3,1,1,1,0,0
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Mathematical Studies,10,1,3,4,2,0,0,0,0
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Mathematics (Further),14,0,0,5,6,1,1,1,0
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101391,Dwight School London,Independent School,IBO Standard level component,Other Languages,18,0,1,3,1,7,2,3,1
