"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Merton,102684,King's College School,Independent School,IBO Higher level component,Classics (General),27,0,0,0,0,3,1,23,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Design & Technology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Higher level component,Design & Technology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Standard level component,Economics,34,0,0,0,0,1,7,26,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Economics,55,0,0,0,0,2,24,29,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Geography,9,0,0,0,0,0,3,6,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Geography,29,0,0,0,0,1,8,20,0
Merton,102684,King's College School,Independent School,IBO Standard level component,History,8,0,0,0,0,1,6,1,0
Merton,102684,King's College School,Independent School,IBO Higher level component,History,39,0,0,0,1,4,20,14,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Logic/ Philosophy,10,0,0,0,0,0,2,8,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Logic/ Philosophy,18,0,0,0,0,2,6,10,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Management Studies / Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Higher level component,Management Studies / Science,9,0,0,0,0,3,4,2,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Mathematical Studies,75,0,0,0,1,9,18,47,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Mathematics (Further),45,0,0,1,4,16,20,4,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Mathematics (Further),70,0,0,0,9,16,25,20,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Higher level component,Music,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Standard level component,Other Classical Languages,41,0,0,0,0,4,17,20,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Other Languages,84,0,0,0,0,12,52,20,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Other Languages,52,0,0,0,1,8,21,22,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Physics,18,0,0,0,4,3,6,5,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Physics,46,0,0,1,1,9,10,25,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Psychology,13,0,0,0,0,0,2,11,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Psychology,16,0,0,0,0,0,7,9,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Untranslated Literature,121,0,0,0,0,3,63,55,0
Merton,102684,King's College School,Independent School,IBO Higher level component,Untranslated Literature,69,0,0,0,0,2,25,42,0
Merton,102684,King's College School,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Higher level component,Visual Arts,10,0,0,0,0,1,0,9,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Biology,31,0,0,0,0,4,15,12,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Chemistry,17,0,0,0,5,5,6,1,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Chemistry,43,0,0,0,1,7,19,16,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Design & Technology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Design & Technology,8,0,0,0,0,0,5,3,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Economics,16,0,0,0,0,3,9,4,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Economics,26,0,0,0,0,4,15,7,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Geography,7,0,0,0,0,0,1,5,1
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Geography,17,0,0,0,0,0,7,10,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,History,6,0,0,0,0,2,2,2,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,History,16,0,0,0,0,2,9,5,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Logic/ Philosophy,7,0,0,0,0,1,4,2,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Logic/ Philosophy,15,0,0,0,0,2,8,5,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Management Studies / Science,6,0,0,0,1,3,1,1,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Mathematical Studies,33,0,0,0,2,7,5,19,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Mathematics (Further),32,0,0,3,5,9,13,2,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Mathematics (Further),38,0,1,8,7,10,7,4,1
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Music,6,0,0,0,0,0,5,1,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Other Classical Languages,10,0,0,0,0,2,3,4,1
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Other Languages,81,0,0,0,6,29,35,11,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Other Languages,14,0,0,0,0,4,7,3,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Physics,10,0,0,1,1,2,2,4,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Physics,38,0,0,3,9,9,10,7,0
Birmingham,103584,King Edward's School,Independent School,IBO Standard level component,Untranslated Literature,80,0,0,0,3,37,35,5,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Untranslated Literature,22,0,0,0,1,4,8,9,0
Birmingham,103584,King Edward's School,Independent School,IBO Higher level component,Visual Arts,6,0,0,0,0,0,6,0,0
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Biology,8,0,0,2,2,3,0,0,1
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Design & Technology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Geography,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,History,6,0,0,0,3,2,1,0,0
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Information & Communications Technology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Management Studies / Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Mathematical Studies,18,0,3,7,3,3,1,0,1
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Other Languages,21,0,0,1,6,8,3,1,2
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Physics,7,0,3,3,0,0,0,0,1
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Psychology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Theatre Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Untranslated Literature,22,0,0,6,9,4,1,0,2
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,IBO Higher level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,IBO Higher level component,Chemistry,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,IBO Higher level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,IBO Standard level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,IBO Higher level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,IBO Standard level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Chemistry,6,0,0,0,0,2,3,1,0
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,History,6,0,0,0,0,1,3,2,0
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Mathematical Studies,9,0,0,0,0,0,4,5,0
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Other Languages,8,0,0,0,1,1,5,1,0
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Physical Education/Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Standard level component,Untranslated Literature,6,0,0,0,0,0,5,1,0
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Untranslated Literature,6,0,0,0,0,0,2,4,0
Manchester,105591,The Manchester Grammar School,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Mathematical Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Standard level component,Untranslated Literature,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105592,Manchester High School for Girls,Independent School,IBO Higher level component,Untranslated Literature,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Higher level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Higher level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Standard level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
