"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No Result
Windsor and Maidenhead,110152,Marist Senior School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110159,LVS Ascot,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110159,LVS Ascot,Independent School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,110526,Stantonbury Campus,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),20,0,3,4,5,7,0,1
Milton Keynes,110526,Stantonbury Campus,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),10,0,1,2,5,2,0,0
Milton Keynes,110531,Lord Grey School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,110882,Ken Stimpson Community School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),36,0,10,9,9,7,1,0
Peterborough,110882,Ken Stimpson Community School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),25,0,10,8,5,0,0,2
Cheshire West and Chester,111422,Upton-by-Chester High School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112043,Helston Community College,Foundation School,CACHE Level 3 Extended Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,8,0,1,3,4,0,0,0
Cumbria,112393,Ullswater Community College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,8,0,3,2,2,1,0,0
Derbyshire,112930,Swanwick Hall School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,7,0,3,1,2,1,0,0
Derbyshire,112994,Friesland School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),95,0,0,8,24,41,4,18
Devon,113520,King Edward VI Community College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,113526,Westlands School,Foundation School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,113526,Westlands School,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,7,0,2,2,3,0,0,0
Plymouth,113609,Plymouth College,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),10,0,1,3,5,0,0,1
