"Number of students entered for an International Baccalaureate diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,,,,,,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Grade 45,Grade 44,Grade 43,Grade 42,Grade 41,Grade 40,Grade 39,Grade 38,Grade 37,Grade 36,Grade 35,Grade 34,Grade 33,Grade 32,Grade 31,Grade 30,Grade 29,Grade 28,Grade 27,Grade 26,Grade 25,Grade 24,No results
Solihull,135684,CTC Kingshurst Academy,Sponsored Academy,International Baccalaureate,36,0,0,0,0,0,0,0,0,0,1,3,0,1,1,2,4,4,5,3,1,4,1,6
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,International Baccalaureate,16,0,0,0,0,0,2,0,1,0,0,2,0,4,0,1,1,2,2,0,0,0,0,1
Medway,136313,The Rochester Grammar School,Academy,International Baccalaureate,20,1,0,3,0,1,0,1,3,2,2,1,2,2,0,1,0,0,1,0,0,0,0,0
Torbay,136321,Torquay Boys' Grammar School,Academy,International Baccalaureate,27,0,0,1,3,3,0,3,1,1,2,3,1,0,2,2,1,0,1,0,2,1,0,0
Kent,136359,Dartford Grammar School,Academy,International Baccalaureate,260,0,2,6,11,12,18,20,20,24,24,18,23,17,20,12,8,7,10,2,1,0,1,4
Bexley,136369,Bexley Grammar School,Academy,International Baccalaureate,46,0,0,1,2,2,3,3,0,1,3,3,3,3,1,4,4,2,2,1,2,1,0,5
Essex,136412,Chelmsford County High School for Girls,Academy,International Baccalaureate,12,0,0,0,0,0,1,2,1,1,0,1,1,0,1,2,0,1,0,0,0,0,0,1
Kent,136417,Tonbridge Grammar School,Academy,International Baccalaureate,104,4,1,5,5,7,6,5,9,7,10,7,10,9,1,5,7,3,2,1,0,0,0,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,International Baccalaureate,115,1,1,1,5,2,7,7,6,10,8,10,8,9,9,9,6,4,5,3,1,0,2,1
Bromley,136551,Newstead Wood School,Academy,International Baccalaureate,10,0,0,0,0,3,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Kent,136585,Dane Court Grammar School,Academy,International Baccalaureate,86,0,0,0,5,1,1,3,5,2,8,4,7,7,2,7,3,7,6,4,4,1,1,8
Cambridgeshire,136636,Parkside Community College,Academy,International Baccalaureate,48,0,0,0,0,0,1,0,0,0,0,2,1,2,2,7,6,2,5,4,3,1,0,12
Milton Keynes,136730,Shenley Brook End School,Academy,International Baccalaureate,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,International Baccalaureate,10,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3
Milton Keynes,136844,The Hazeley Academy,Academy,International Baccalaureate,24,0,0,0,0,0,0,0,1,2,0,2,0,2,2,6,1,0,0,0,1,2,1,4
Buckinghamshire,136845,Sir Henry Floyd Grammar School,Academy,International Baccalaureate,17,0,0,0,1,0,0,2,0,0,1,1,0,1,2,2,1,1,2,0,1,1,0,1
Coventry,136963,Finham Park School,Academy,International Baccalaureate,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,137013,Notley High School and Braintree Sixth Form,Academy,International Baccalaureate,15,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,1,0,2,0,1,0,1,3
Birmingham,137046,King Edward VI Five Ways School,Academy,International Baccalaureate,7,0,0,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Dorset,137163,The Thomas Hardye School,Academy,International Baccalaureate,14,0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,1,3,0,0,0,1,0,1
Cumbria,137205,Dallam School,Academy,International Baccalaureate,23,0,0,0,1,0,1,0,1,3,3,1,0,2,0,3,1,1,1,2,0,0,0,3
Kent,137474,Barton Court Grammar School,Academy,International Baccalaureate,30,0,0,0,0,0,2,1,4,4,1,3,2,3,1,3,1,0,1,1,2,0,0,1
Essex,137727,Anglo European School,Academy,International Baccalaureate,26,0,0,0,0,1,0,1,0,3,1,1,4,2,2,4,1,2,1,0,0,0,1,2
Cambridgeshire,137826,Impington Village College,Academy,International Baccalaureate,51,0,0,0,0,0,0,0,1,0,2,0,2,2,4,4,5,6,4,3,3,3,2,10
Kent,138019,The Norton Knatchbull School,Academy,International Baccalaureate,22,0,0,0,0,1,1,2,1,2,0,2,2,4,0,0,2,1,1,1,0,1,0,1
Wiltshire,138623,St John's Marlborough,Academy,International Baccalaureate,23,0,0,0,0,0,0,0,1,5,3,0,3,2,0,1,2,1,1,0,1,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
