"Number of students passing a BTEC extended diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Triple Distinction Star,Double Distinction Star Distinction,Distinction Star Double Distinction,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Hounslow,102545,Gunnersbury Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,11,0,0,0,0,4,0,1,1,3,2
Hounslow,102551,Arts Educational School,Independent School,Pearson BTEC Level 3 Extended Diploma,Acting Skills,8,2,3,3,0,0,0,0,0,0,0
Hounslow,102551,Arts Educational School,Independent School,Pearson BTEC Level 3 Extended Diploma,Acting: Music Theatre,12,7,3,0,2,0,0,0,0,0,0
Newham,102787,St Bonaventure's RC School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,6,0,0,0,1,1,1,2,0,1,0
Redbridge,102849,Caterham High School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102853,Loxford School of Science and Technology,Community School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,16,3,0,2,1,0,4,2,2,1,1
Redbridge,102853,Loxford School of Science and Technology,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,34,4,2,1,5,7,11,1,1,1,1
Redbridge,102853,Loxford School of Science and Technology,Community School,Pearson BTEC Level 3 Extended Diploma,Multimedia,6,0,0,0,1,3,1,0,0,1,0
Redbridge,102854,Woodbridge High School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,6,3,2,1,0,0,0,0,0,0,0
Redbridge,102855,Beal High School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102858,Mayfield School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,102947,The Royal Ballet School,Independent School,Pearson BTEC Level 3 Extended Diploma,Dance: General,15,3,4,3,0,2,1,2,0,0,0
Sutton,103009,The John Fisher School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,7,1,0,2,1,0,2,0,0,1,0
Sutton,103009,The John Fisher School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,16,3,1,1,2,7,1,0,1,0,0
Sutton,103013,St Philomena's School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,15,14,0,0,0,1,0,0,0,0,0
Sutton,103013,St Philomena's School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Health Studies,11,9,0,0,2,0,0,0,0,0,0
Waltham Forest,103097,Heathcote School & Science College,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,11,3,2,0,0,0,0,1,2,2,1
Birmingham,103481,Waverley School,Community School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
