"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,ABC Level 3 Certificate in Practical Spanish (QCF),Spanish,2,Supp,Supp,Supp,Supp,Supp
Dudley,103870,Old Swinford Hospital,Voluntary Aided School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,4,Supp,Supp,Supp,Supp,Supp
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,Skillsfirst Level 3 Certificate in Principles of Business and Administration (QCF),Administrative Management,1,Supp,Supp,Supp,Supp,Supp
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,City & Guilds Level 3 Award in Body Massage (QCF),Massage Techniques (Personal Health),3,Supp,Supp,Supp,Supp,Supp
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,39,0,0,0,39,0
Solihull,104118,Smith's Wood Sports College,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,3,Supp,Supp,Supp,Supp,Supp
Solihull,104124,Solihull School,Independent School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Walsall,104248,Brownhills School,Foundation School,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,3,Supp,Supp,Supp,Supp,Supp
Walsall,104248,Brownhills School,Foundation School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,7,0,0,0,7,0
Walsall,104255,St Francis of Assisi Catholic Technology College,Voluntary Aided School,City & Guilds Level 3 Certificate In Knowledge of Policing (QCF),Police Services,2,Supp,Supp,Supp,Supp,Supp
Walsall,104255,St Francis of Assisi Catholic Technology College,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,73,0,0,0,73,0
Wolverhampton,104386,Highfields School,Community School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104389,"Smestow School, A Specialist Sports College",Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,8,0,0,0,8,0
Wolverhampton,104390,Coppice Performing Arts School,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,4,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104390,Coppice Performing Arts School,Community School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,4,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,City & Guilds Level 3 Diploma in Hairdressing for Colour Technicians (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,City & Guilds Level 3 Diploma in Hairdressing for Cutting and Styling Technicians (QCF),Hairdressing Services,1,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,City & Guilds Level 3 Diploma in Nail Technology (QCF),Manicure,1,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,VTCT Level 3 Diploma in Massage Therapy (QCF),Massage Techniques (Personal Health),3,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,3,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,13,0,0,0,13,0
Wolverhampton,104401,Our Lady and St Chad Catholic Sports College,Voluntary Aided School,ASDAN Level 3 Award in Community Volunteering (QCF),Community Work,4,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104401,Our Lady and St Chad Catholic Sports College,Voluntary Aided School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,2,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104402,Wolverhampton Girls' High School,Foundation School,Active IQ Level 3 Diploma In Personal Training and Business Skills for Fitness Professionals (QCF),Small Business Management,2,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104411,Wolverhampton Grammar School,Independent School,OCNWMR Level 3 Award in Progression (QCF),Self Development,1,Supp,Supp,Supp,Supp,Supp
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,4,Supp,Supp,Supp,Supp,Supp
