"Number of students passing a double award OCR Cambridge technical diploma or technical subsidiary diploma level 3 by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Double Star,Star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double Pass
Medway,135964,Strood Academy,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,136044,St George's Academy,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,136142,The All Saints Church of England Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,6,3,2,1,0,0,0,0
Plymouth,136142,The All Saints Church of England Academy,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,136157,Nightingale Academy,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,10,0,0,0,0,2,4,4
Plymouth,136166,Marine Academy Plymouth,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,136166,Marine Academy Plymouth,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,136204,The Thetford Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
