"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
Birmingham,137046,King Edward VI Five Ways School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Brighton and Hove,137063,Portslade Aldridge Community Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Brighton and Hove,137063,Portslade Aldridge Community Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Brighton and Hove,137063,Portslade Aldridge Community Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Brighton and Hove,137063,Portslade Aldridge Community Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Essex,137072,Hylands School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Essex,137072,Hylands School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Essex,137072,Hylands School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Northamptonshire,137089,Caroline Chisholm School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Northamptonshire,137089,Caroline Chisholm School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Northamptonshire,137089,Caroline Chisholm School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,7,3,1,1,2
Northamptonshire,137089,Caroline Chisholm School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Staffordshire,137100,Fair Oak Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Staffordshire,137103,Hagley Park Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Kent,137104,Hillview School for Girls,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Kent,137104,Hillview School for Girls,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,3,2,2,2
Derbyshire,137109,Ormiston Ilkeston Enterprise Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Hertfordshire,137110,Longdean School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Hertfordshire,137110,Longdean School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Nottinghamshire,137117,Retford Oaks Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,6,2,0,0,4
Nottinghamshire,137117,Retford Oaks Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,6,2,0,0,4
Nottinghamshire,137117,Retford Oaks Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,12,4,1,1,6
Nottinghamshire,137117,Retford Oaks Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,5,1,3,3
Lincolnshire,137135,Sir Robert Pattinson Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lincolnshire,137135,Sir Robert Pattinson Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,4,1,1,0
Lincolnshire,137135,Sir Robert Pattinson Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,2,Supp,Supp,Supp,Supp
Lincolnshire,137135,Sir Robert Pattinson Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,2,Supp,Supp,Supp,Supp
Nottinghamshire,137159,The National CofE Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,18,3,4,8,3
Nottinghamshire,137159,The National CofE Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,17,4,5,6,2
Staffordshire,137164,Staffordshire University Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,4,0,6,3
Coventry,137165,Woodlands Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,4,4,1,0
Plymouth,137206,Tor Bridge High,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Art & Design,1,Supp,Supp,Supp,Supp
Plymouth,137206,Tor Bridge High,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,8,3,0,1,4
Coventry,137209,Tile Hill Wood School and Language College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Buckinghamshire,137215,The Chalfonts Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Cornwall,137223,Falmouth School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp
Hertfordshire,137224,Mount Grace School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,3,2,1,1
Hertfordshire,137224,Mount Grace School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,6,3,3,0,0
Wiltshire,137230,Warminster Kingdown,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,25,9,3,12,1
Wiltshire,137230,Warminster Kingdown,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,24,11,5,8,0
Warwickshire,137236,Stratford Upon Avon School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,14,0,0,0,14
Warwickshire,137236,Stratford Upon Avon School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,11,1,3,6,1
Cambridgeshire,137248,St Peter's School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,19,12,4,2,1
Cumbria,137252,William Howard School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Cumbria,137252,William Howard School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Walsall,137274,The Mirus Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,15,0,0,0,15
Walsall,137274,The Mirus Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,3,0,6,5
Cambridgeshire,137305,St Ivo School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,9,8,1,0,0
Manchester,137309,The King David High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Manchester,137309,The King David High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,9,8,1,0,0
Barnet,137361,Whitefield School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Barnet,137361,Whitefield School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,7,2,0,1
Barnet,137388,Christ's College Finchley,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,0,1,4,3
Barnet,137388,Christ's College Finchley,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,0,0,3,6
Essex,137429,Colne Community School and College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Essex,137429,Colne Community School and College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Essex,137429,Colne Community School and College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Calderdale,137444,Rastrick High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,6,2,3,1,0
Calderdale,137444,Rastrick High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,23,15,6,2,0
Kent,137458,Brockhill Park Performing Arts College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,15,7,6,2,0
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,14,7,6,1,0
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,15,7,1,7,0
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,9,6,1,0
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,9,2,1,2,4
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,13,6,2,4,1
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Sports Studies,10,9,1,0,0
Doncaster,137472,Don Valley Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,17,9,5,3,0
Sefton,137514,Chesterfield High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sefton,137514,Chesterfield High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,7,4,2,0
Sefton,137514,Chesterfield High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Sefton,137520,Maghull High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,21,7,5,6,3
Bath and North East Somerset,137523,Wellsway School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,21,7,4,9,1
Bath and North East Somerset,137523,Wellsway School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,19,5,8,6,0
Bath and North East Somerset,137523,Wellsway School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Bath and North East Somerset,137523,Wellsway School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Hertfordshire,137532,Goffs School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,12,6,1,3,2
Hertfordshire,137532,Goffs School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,12,7,1,2,2
Sefton,137533,Deyes High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sefton,137533,Deyes High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,23,17,5,1,0
Leeds,137577,The Farnley Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,27,9,3,5,10
Leeds,137577,The Farnley Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,26,14,10,2,0
Doncaster,137603,Ridgewood School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,9,8,1,0,0
Doncaster,137603,Ridgewood School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,6,2,0,0
Doncaster,137603,Ridgewood School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Essex,137619,Philip Morant School and College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Essex,137619,Philip Morant School and College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,15,7,3,4,1
Darlington,137622,Carmel College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Darlington,137622,Carmel College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,9,2,0,1
Medway,137630,Walderslade Girls' School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Medway,137630,Walderslade Girls' School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Gloucestershire,137634,Churchdown School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,6,0,2,1
County Durham,137702,St John's School & Sixth Form College - A Catholic Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,25,4,3,15,3
Leeds,137704,Otley Prince Henry's Grammar School Specialist Language College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,16,0,4,10,2
Leeds,137704,Otley Prince Henry's Grammar School Specialist Language College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,7,1,5,0
Walsall,137706,Willenhall E-ACT Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,0,0,5,11
Walsall,137707,The Streetly Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,8,0,0,0
Walsall,137707,The Streetly Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,20,4,12,4,0
Wolverhampton,137730,Heath Park,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Art & Design,2,Supp,Supp,Supp,Supp
Wolverhampton,137730,Heath Park,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,10,1,1,5,3
Wolverhampton,137730,Heath Park,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,13,3,5,5,0
Windsor and Maidenhead,137740,Furze Platt Senior School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,3,1,2,2
Windsor and Maidenhead,137740,Furze Platt Senior School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,3,0,1,2
Warwickshire,137766,Campion School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Cambridgeshire,137779,Ely College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Essex,137790,Plume School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,9,0,0,3,6
Essex,137790,Plume School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,0,0,3,5
Nottingham,137798,Bluecoat Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Nottingham,137798,Bluecoat Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,1,1,4,1
Doncaster,137842,Hall Cross Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,25,0,3,5,17
Doncaster,137842,Hall Cross Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,24,1,2,4,17
Gateshead,137851,St Thomas More Catholic School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Gateshead,137851,St Thomas More Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,7,2,3,2,0
Gateshead,137851,St Thomas More Catholic School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Gateshead,137851,St Thomas More Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Gateshead,137851,St Thomas More Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,3,0,2,1
Gateshead,137852,Cardinal Hume Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Gateshead,137852,Cardinal Hume Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,32,16,2,14,0
Gateshead,137852,Cardinal Hume Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,10,7,3,0,0
Northamptonshire,137878,Chenderit School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,14,3,1,6,4
Hounslow,137907,Chiswick School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Hertfordshire,137938,Nicholas Breakspear Catholic School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,4,0,0,2
Hounslow,137940,Isleworth and Syon School for Boys,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Walsall,137974,Aldridge School - A Science College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,5,3,0,0
Walsall,137974,Aldridge School - A Science College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,7,1,0,0
Nottinghamshire,137981,Ashfield Comprehensive School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Nottinghamshire,137981,Ashfield Comprehensive School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,5,0,6,2
Medway,138046,Greenacre School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,0,0,3,6
Nottinghamshire,138076,The Elizabethan Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,9,3,0,1,5
Nottinghamshire,138076,The Elizabethan Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,3,0,2,3
Nottinghamshire,138076,The Elizabethan Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,21,1,2,8,10
Nottinghamshire,138076,The Elizabethan Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,1,7,3,5
Bradford,138087,Belle Vue Girls' School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Bradford,138087,Belle Vue Girls' School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,2,2,1,2
Bradford,138087,Belle Vue Girls' School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,10,0,0,2,8
Bradford,138087,Belle Vue Girls' School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,7,0,0,1,6
Wolverhampton,138098,Moseley Park,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,2,Supp,Supp,Supp,Supp
Wolverhampton,138098,Moseley Park,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,7,3,0,3,1
Doncaster,138116,Campsmount (A Co-Operative Academy),Converter Academy,OCR Cambridge Technical Certificate at Level 3,Art & Design,1,Supp,Supp,Supp,Supp
Doncaster,138116,Campsmount (A Co-Operative Academy),Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,2,Supp,Supp,Supp,Supp
Doncaster,138116,Campsmount (A Co-Operative Academy),Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,1,3,2,0
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,28,4,3,16,5
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,33,15,10,4,4
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,14,6,2,6,0
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,4,5,3,0
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Sports Studies,13,3,2,7,1
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,13,5,7,0,1
Cambridgeshire,138177,Cromwell Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,7,4,1,0
Croydon,138187,Woodcote High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,21,9,5,5,2
Croydon,138187,Woodcote High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,21,14,5,2,0
Northamptonshire,138214,The Duston School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Art & Design,1,Supp,Supp,Supp,Supp
Northamptonshire,138214,The Duston School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,3,Supp,Supp,Supp,Supp
Northamptonshire,138214,The Duston School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,6,4,0,1,1
Northamptonshire,138214,The Duston School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,15,8,1,3,3
Kent,138236,High Weald Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Kent,138236,High Weald Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,3,1,2,2
Hertfordshire,138286,Beaumont School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Leeds,138304,Crawshaw Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,14,4,1,8,1
Leeds,138304,Crawshaw Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,3,4,2,1
Cheshire West and Chester,138318,Neston High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,2,3,1,1
Hertfordshire,138356,St George's School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
North Somerset,138466,Nailsea School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Nottinghamshire,138481,Kirkby College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Oxfordshire,138490,Didcot Girls' School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,4,Supp,Supp,Supp,Supp
Central Bedfordshire,138571,Queensbury Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,1,2,2,2
Walsall,138606,"Blue Coat Church of England Academy, Walsall",Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Walsall,138606,"Blue Coat Church of England Academy, Walsall",Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,7,3,2,2,0
Walsall,138606,"Blue Coat Church of England Academy, Walsall",Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,9,2,2,0
Wiltshire,138630,Devizes School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Nottinghamshire,138641,The Kimberley School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Liverpool,138696,West Derby School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,5,0,4,0
Staffordshire,138729,Painsley Catholic College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Staffordshire,138729,Painsley Catholic College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Oxfordshire,138762,St Birinus School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Norfolk,138829,Reepham High School and College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,1,0,4,3
Norfolk,138829,Reepham High School and College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Torbay,138863,Paignton Community and Sports Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Torbay,138863,Paignton Community and Sports Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,2,1,4,0
Nottinghamshire,138872,The Newark Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Nottinghamshire,138872,The Newark Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,4,3,2,0
Northamptonshire,138932,Kingsthorpe College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,5,Supp,Supp,Supp,Supp
Leeds,139054,Swallow Hill Community College,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Surrey,139193,Guildford County School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Surrey,139193,Guildford County School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Norfolk,139204,Downham Market Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,7,4,0,2,1
Staffordshire,139234,The JCB Academy,Free School - University Technical College,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,0,0,7,6
