"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
Hertfordshire,117519,Simon Balle School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Hertfordshire,117519,Simon Balle School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Hertfordshire,117528,The Cavendish School,Community School,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Hertfordshire,117528,The Cavendish School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Hertfordshire,117531,Turnford School,Community School,OCR Cambridge Technical Certificate at Level 3,Business Studies,29,17,1,4,7
Hertfordshire,117531,Turnford School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,27,23,1,2,1
Hertfordshire,117531,Turnford School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,10,7,1,1,1
Hertfordshire,117531,Turnford School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,4,2,2,1
Hertfordshire,117552,The Astley Cooper School,Community School,OCR Cambridge Technical Certificate at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Hertfordshire,117552,The Astley Cooper School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Hertfordshire,117591,Chancellor's School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Hertfordshire,117591,Chancellor's School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,7,4,1,2,0
East Riding of Yorkshire,118075,Withernsea High School Specialising In Humanities,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118083,Wolfreton School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118083,Wolfreton School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,1,0,4,3
