"Number of students passing a BTEC 90 credit diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
North Tyneside,108645,Longbenton Community College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109325,Marlwood School,Voluntary Controlled School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110047,The Brakenhale School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110159,LVS Ascot,Independent School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,110531,Lord Grey School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,110882,Ken Stimpson Community School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,111397,Queen's Park High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111419,Malbank School and Sixth Form College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,111482,The Hammond,Independent School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stockton-on-Tees,111769,Yarm School,Independent School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112038,Treviglas Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112038,Treviglas Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112038,Treviglas Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112041,Torpoint Community College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,7,7,0,0,0,0,0,0
Cornwall,112061,Liskeard School and Community College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Music Technology (Electronic),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112388,Millom School,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112453,Austin Friars St Monica's,Independent School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112453,Austin Friars St Monica's,Independent School,Pearson BTEC Level 3 90-credit Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112453,Austin Friars St Monica's,Independent School,Pearson BTEC Level 3 90-credit Diploma,Public Services,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112939,Aldercar Community Language College,Community School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112939,Aldercar Community Language College,Community School,Pearson BTEC Level 3 90-credit Diploma,Public Services,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112950,Highfields School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112957,Glossopdale Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,8,1,1,4,0,2,0,0
Derbyshire,112989,Belper School and Sixth Form Centre,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derby,112992,Noel-Baker School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,7,2,0,1,1,1,0,2
Devon,113497,The Axe Valley Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
