"Number of students entered for the AQA Baccalaureate by institution, subject and grade achieved",,,,,,,,,
,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Distinction,Merit,Pass,No results
Trafford,136498,Sale Grammar School,Academy,AQA Baccalaureate Core,17,3,10,4,0
Torbay,136506,Torquay Girls Grammar School,Academy,AQA Baccalaureate Core,44,14,23,5,2
Bath and North East Somerset,136520,Beechen Cliff School,Academy,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Devon,136569,South Dartmoor Community College,Academy,AQA Baccalaureate Core,7,2,3,1,1
Gloucestershire,136578,The Crypt School,Academy,AQA Baccalaureate Core,11,0,8,2,1
Kent,136582,Invicta Grammar School,Academy,AQA Baccalaureate Core,20,6,12,2,0
Plymouth,136588,Devonport High School for Girls,Academy,AQA Baccalaureate Core,22,6,12,3,1
Wiltshire,136611,The Corsham School,Academy,AQA Baccalaureate Core,16,1,8,6,1
York,136617,"Archbishop Holgate's School, A Church of England Academy",Academy,AQA Baccalaureate Core,10,1,7,2,0
Wokingham,136637,Maiden Erlegh School,Academy,AQA Baccalaureate Core,8,1,6,1,0
Devon,136638,Clyst Vale Community College,Academy,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
North Yorkshire,136664,Skipton Girls' High School,Academy,AQA Baccalaureate Core,22,8,12,1,1
East Riding of Yorkshire,136667,South Hunsley School and Sixth Form College,Academy,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Devon,136673,The King's School,Academy,AQA Baccalaureate Core,17,4,9,4,0
Liverpool,136735,St Edward's College,Academy,AQA Baccalaureate Core,6,4,1,0,1
Gloucestershire,136767,Ribston Hall High School,Academy,AQA Baccalaureate Core,20,4,11,5,0
Suffolk,136827,Copleston High School,Academy,AQA Baccalaureate Core,30,0,13,15,2
Buckinghamshire,136846,Aylesbury High School,Academy,AQA Baccalaureate Core,32,8,18,6,0
Poole,136850,Poole Grammar School,Academy,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Essex,136861,The Billericay School,Academy,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Essex,136875,St Martin's School Brentwood,Academy,AQA Baccalaureate Core,69,3,30,26,10
