"Number of students entered for a Pre-U principal subject by institution, subject and grade achieved ",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction 1,Distinction 2,Distinction 3,Merit 1,Merit 2,Merit 3,Pass 1,Pass 2,Pass 3,No results
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Art & Design,20,0,3,9,7,1,0,0,0,0,0
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Art & Design (Graphics),11,1,2,2,4,1,0,1,0,0,0
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Art & Design (Photography),13,0,2,6,4,0,1,0,0,0,0
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Art & Design (Textiles),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,French,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,German,6,0,3,3,0,0,0,0,0,0,0
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,History of Art,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Mathematics,17,5,9,3,0,0,0,0,0,0,0
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Mathematics (Further),16,0,4,3,2,2,2,1,1,0,1
Warwickshire,125777,Rugby School,Independent School,Pre-U Principal Subject,Physics,12,4,3,2,2,1,0,0,0,0,0
West Sussex,126107,Christ's Hospital,Independent School,Pre-U Principal Subject,Art & Design,17,3,2,1,7,2,1,1,0,0,0
Wiltshire,126516,Marlborough College,Independent School,Pre-U Principal Subject,English Literature,54,1,8,23,13,5,2,1,1,0,0
Wiltshire,126516,Marlborough College,Independent School,Pre-U Principal Subject,Philosophy & Theology,40,10,12,7,6,2,0,2,1,0,0
West Sussex,129383,Central Sussex College,General Further Education College,Pre-U Principal Subject,General Studies,9,2,4,2,1,0,0,0,0,0,0
Hackney,130407,Hackney Community College,General Further Education College,Pre-U Principal Subject,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,130407,Hackney Community College,General Further Education College,Pre-U Principal Subject,General Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
