"Number of students passing a BTEC national diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Nottinghamshire,136291,George Spencer Academy and Technology College,Converter Academy,BTEC National Diploma,Childcare Skills,6,5,0,1,0,0,0,0
Devon,136336,Ivybridge Community College,Converter Academy,BTEC National Diploma,Childcare Skills,8,2,0,2,2,1,0,1
Leeds,136343,Garforth Academy,Converter Academy,BTEC National Diploma,Childcare Skills,8,8,0,0,0,0,0,0
Solihull,136347,John Henry Newman Catholic College,Sponsored Academy,BTEC National Diploma,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,136519,Haydon School,Converter Academy,BTEC National Diploma,Childcare Skills,7,6,1,0,0,0,0,0
Devon,136612,Exmouth Community College,Converter Academy,BTEC National Diploma,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,136624,Walton Girls' High School & Sixth Form,Converter Academy,BTEC National Diploma,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136709,Bullers Wood School,Converter Academy,BTEC National Diploma,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,136711,Queensmead School,Converter Academy,BTEC National Diploma,Childcare Skills,8,2,1,0,1,0,1,3
Essex,136776,Saffron Walden County High School,Converter Academy,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Blackburn with Darwen,136900,St Wilfrid's Church of England Academy,Converter Academy,BTEC National Diploma,Childcare Skills,9,6,2,0,1,0,0,0
Sutton,136914,Glenthorne High School,Converter Academy,BTEC National Diploma,Childcare Skills,6,4,1,0,1,0,0,0
East Riding of Yorkshire,137306,Hessle High School and Sixth Form College,Converter Academy,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137377,"Abbey College, Ramsey",Converter Academy,BTEC National Diploma,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,137630,Walderslade Girls' School,Converter Academy,BTEC National Diploma,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,137880,Stanground Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,6,0,2,2,1,0,0,1
Sunderland,138054,St Anthony's Girls' Catholic Academy,Converter Academy,BTEC National Diploma,Childcare Skills,15,15,0,0,0,0,0,0
Leicestershire,138344,John Cleveland College,Converter Academy,BTEC National Diploma,Childcare Skills,16,16,0,0,0,0,0,0
Lincolnshire,139168,Sir John Gleed School,Converter Academy,BTEC National Diploma,Childcare Skills,10,7,2,1,0,0,0,0
South Gloucestershire,139238,South Gloucestershire and Stroud College,General Further Education College,BTEC National Diploma,Childcare Skills,13,7,1,1,0,0,2,2
Sandwell,139328,The ACE Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,139888,Washwood Heath Academy,Converter Academy,BTEC National Diploma,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
