"Number of students entered for an extended project (diploma) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No results
Solihull,104124,Solihull School,Independent School,Extended Project (Diploma),Study Skills,31,0,4,5,6,4,2,10
Walsall,104248,Brownhills School,Foundation School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Walsall,104255,St Francis of Assisi Catholic Technology College,Voluntary Aided School,Extended Project (Diploma),Study Skills,38,0,3,10,11,13,1,0
Wolverhampton,104386,Highfields School,Community School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,Extended Project (Diploma),Study Skills,6,0,1,1,2,1,1,0
Wolverhampton,104402,Wolverhampton Girls' High School,Foundation School,Extended Project (Diploma),Study Skills,10,6,3,1,0,0,0,0
Wolverhampton,104411,Wolverhampton Grammar School,Independent School,Extended Project (Diploma),Study Skills,68,0,18,25,17,8,0,0
Liverpool,104693,Alsop High School Technology & Applied Learning Specialist College,Community School,Extended Project (Diploma),Study Skills,12,0,0,8,2,0,1,1
Liverpool,104698,Calderstones School,Community School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104700,Gateacre School,Community School,Extended Project (Diploma),Study Skills,21,0,0,2,4,8,3,4
Liverpool,104703,King David High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,10,2,2,3,1,1,1,0
Liverpool,104705,"Archbishop Blanch CofE VA High School, A Technology College and Training School",Voluntary Aided School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104714,Cardinal Heenan Catholic High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104715,St John Bosco Arts College,Voluntary Aided School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104721,St Hilda's Church of England High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,7,0,0,0,1,5,1,0
St. Helens,104826,Rainford High Technology College,Community School,Extended Project (Diploma),Study Skills,19,10,2,3,3,0,1,0
St. Helens,104829,Cowley International College,Community School,Extended Project (Diploma),Study Skills,12,1,2,3,5,1,0,0
St. Helens,104830,Rainhill High School,Foundation School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,104960,Maricourt Catholic High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,29,3,5,6,8,7,0,0
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,104962,Holy Family Catholic High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Extended Project (Diploma),Study Skills,23,2,4,1,5,2,3,6
Sefton,104973,Merchant Taylors' Boys' School,Independent School,Extended Project (Diploma),Study Skills,9,2,3,2,1,0,0,1
Sefton,104974,Merchant Taylors Girls School,Independent School,Extended Project (Diploma),Study Skills,8,6,2,0,0,0,0,0
Wirral,105100,Pensby High School for Boys: A Specialist Sports College,Community School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105101,Pensby High School for Girls,Community School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105107,South Wirral High School,Foundation School,Extended Project (Diploma),Study Skills,8,1,1,3,1,1,0,1
Wirral,105108,Wallasey School,Community School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105110,St Mary's Catholic College,Voluntary Aided School,Extended Project (Diploma),Study Skills,9,0,1,2,3,1,2,0
Bolton,105253,Turton School,Community School,Extended Project (Diploma),Study Skills,59,11,19,20,5,2,1,1
Bolton,105264,Thornleigh Salesian College,Voluntary Aided School,Extended Project (Diploma),Study Skills,39,0,0,14,11,8,5,1
Bolton,105267,Canon Slade CofE School,Voluntary Aided School,Extended Project (Diploma),Study Skills,77,12,22,22,16,3,2,0
Bolton,105271,Bolton School Boys' Division,Independent School,Extended Project (Diploma),Study Skills,19,1,4,5,4,1,0,4
Bolton,105272,Bolton School Girls' Division,Independent School,Extended Project (Diploma),Study Skills,29,14,9,5,1,0,0,0
Bury,105373,Bury Grammar School Boys,Independent School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105374,Bury Grammar School Girls,Independent School,Extended Project (Diploma),Study Skills,16,11,4,1,0,0,0,0
Manchester,105556,Parrs Wood High School,Community School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,Extended Project (Diploma),Study Skills,6,3,3,0,0,0,0,0
Manchester,105592,Manchester High School for Girls,Independent School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105594,St Bede's College,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105595,Withington Girls' School,Independent School,Extended Project (Diploma),Study Skills,16,2,4,3,5,1,1,0
Oldham,105745,Oldham Hulme Grammar Schools,Independent School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Salford,105992,Bridgewater School,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stockport,106156,Stockport Grammar School,Independent School,Extended Project (Diploma),Study Skills,7,2,3,1,0,1,0,0
Tameside,106268,Hyde Community College,Community School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Trafford,106368,Stretford Grammar School,Foundation School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wigan,106538,St Mary's Catholic High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,106812,Hill House School,Independent School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,106955,Wickersley School and Sports College,Community School,Extended Project (Diploma),Study Skills,28,2,11,6,6,3,0,0
Rotherham,106958,Dinnington Comprehensive Specialising in Science and Engineering,Community School,Extended Project (Diploma),Study Skills,8,3,3,2,0,0,0,0
Rotherham,106959,Swinton Community School,Community School,Extended Project (Diploma),Study Skills,8,4,2,2,0,0,0,0
Sheffield,107140,King Edward VII School,Community School,Extended Project (Diploma),Study Skills,45,13,11,9,3,5,1,3
Sheffield,107163,Birkdale School,Independent School,Extended Project (Diploma),Study Skills,10,3,2,1,0,0,1,3
Sheffield,107166,Sheffield High School,Independent School,Extended Project (Diploma),Study Skills,22,7,6,3,1,2,1,2
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,Extended Project (Diploma),Study Skills,13,0,0,0,0,3,0,10
Bradford,107366,Tong High School,Foundation School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107391,Queensbury School,Community School,Extended Project (Diploma),Study Skills,26,1,2,6,6,3,1,7
Bradford,107439,Bingley Grammar School,Voluntary Aided School,Extended Project (Diploma),Study Skills,8,0,2,3,1,1,0,1
Bradford,107440,Hanson School,Foundation School,Extended Project (Diploma),Study Skills,34,4,7,8,13,1,1,0
Bradford,107441,Oakbank School,Foundation School,Extended Project (Diploma),Study Skills,11,6,2,3,0,0,0,0
Bradford,107455,Bradford Grammar School,Independent School,Extended Project (Diploma),Study Skills,17,6,6,3,1,1,0,0
