"Number of students entered for applied AS level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Milton Keynes,110526,Stantonbury Campus,Foundation School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,1,0,0,2,2,1,0,0
Peterborough,110899,Jack Hunt School,Foundation School,Applied GCE AS level Double Award,Applied Business,12,0,1,1,0,2,2,2,3,0,1
Cheshire East,111402,Tytherington High School,Foundation School,Applied GCE AS level Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111402,Tytherington High School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,0,1,4,1,0,0,0,0
Cheshire West and Chester,111424,Bishop Heber High School,Foundation School,Applied GCE AS level Double Award,Applied Business,9,1,0,3,1,1,3,0,0,0,0
Cheshire West and Chester,111440,Helsby High School,Community School,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hartlepool,111756,The English Martyrs School and Sixth Form College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,18,0,1,1,4,5,1,4,1,0,1
Cumbria,112394,Southfield Technology College,Community School,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112395,Stainburn School and Science College,Community School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112396,Whitehaven School,Community School,Applied GCE AS level Double Award,Applied Science,9,0,1,1,0,1,1,1,3,1,0
Cumbria,112396,Whitehaven School,Community School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112398,St Benedict's Catholic High School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112968,Anthony Gell School,Voluntary Controlled School,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112989,Belper School and Sixth Form Centre,Foundation School,Applied GCE AS level Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112989,Belper School and Sixth Form Centre,Foundation School,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,113516,Bideford College,Foundation School,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113888,The Blandford School,Voluntary Controlled School,Applied GCE AS level Double Award,Health & Social Care,8,2,0,2,0,0,0,1,2,0,1
Dorset,113902,Budmouth College,Foundation School,Applied GCE AS level Double Award,Health & Social Care,8,1,0,0,1,1,2,1,1,1,0
Poole,113907,Poole High School,Foundation School,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Poole,113907,Poole High School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,7,0,0,2,4,0,1,0,0,0,0
County Durham,114310,Durham Sixth Form Centre,Community School,Applied GCE AS level Double Award,Health & Social Care,19,2,4,4,3,1,2,3,0,0,0
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,8,0,1,3,2,2,0,0,0,0,0
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,Applied GCE AS level Double Award,Health & Social Care,7,1,0,0,0,1,1,2,1,0,1
Brighton and Hove,114611,Cardinal Newman Catholic School,Voluntary Aided School,Applied GCE AS level Double Award,Applied ICT,10,0,0,2,1,2,2,2,1,0,0
Gloucestershire,115721,Beaufort Community School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southampton,116458,Bitterne Park School,Community School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,0,0,2,2,0,0,0,2
Hertfordshire,117515,Barclay School,Community School,Applied GCE AS level Double Award,Applied Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117528,The Cavendish School,Community School,Applied GCE AS level Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117622,Sherrardswood School,Independent School,Applied GCE AS level Double Award,Travel & Tourism,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118785,Dartford Science & Technology College,Community School,Applied GCE AS level Double Award,Applied Business,6,1,0,0,2,1,1,0,0,1,0
Kent,118785,Dartford Science & Technology College,Community School,Applied GCE AS level Double Award,Health & Social Care,13,0,2,1,3,1,1,2,3,0,0
Kent,118832,The North School,Community School,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118904,St Simon Stock Catholic School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118978,Bethany School,Independent School,Applied GCE AS level Double Award,Applied Business,12,2,2,2,2,2,0,0,0,1,1
Lancashire,119761,Morecambe Community High School,Community School,Applied GCE AS level Double Award,Applied Business,7,0,1,0,1,2,0,1,1,1,0
Leicestershire,120261,Longslade Community College,Community School,Applied GCE AS level Double Award,Health & Social Care,13,1,0,1,1,0,2,6,1,1,0
Norfolk,121151,Northgate High School,Community School,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,121172,City of Norwich School,Community School,Applied GCE AS level Double Award,Health & Social Care,7,1,2,0,2,0,1,0,1,0,0
Norfolk,121182,Dereham Neatherd High School,Community School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,121185,Fakenham High School and College,Community School,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121667,Caedmon College Whitby,Community School,Applied GCE AS level Double Award,Health & Social Care,11,1,3,2,2,2,0,0,1,0,0
North Yorkshire,121671,Lady Lumley's School,Community School,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
York,121673,Huntington School,Community School,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121680,Richmond School,Community School,Applied GCE AS level Double Award,Health & Social Care,6,0,1,1,1,1,0,1,1,0,0
North Yorkshire,121687,King James's School,Community School,Applied GCE AS level Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,Applied GCE AS level Double Award,Applied Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,Applied GCE AS level Double Award,Health & Social Care,13,1,2,2,2,2,3,1,0,0,0
York,121711,Joseph Rowntree School,Voluntary Controlled School,Applied GCE AS level Double Award,Health & Social Care,6,1,2,1,1,0,1,0,0,0,0
North Yorkshire,121717,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121717,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
York,121720,All Saints RC School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,9,1,1,1,3,1,1,1,0,0,0
York,121720,All Saints RC School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,7,0,0,1,2,0,1,2,1,0,0
Northumberland,122367,St Benet Biscop Catholic Voluntary Aided High School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,10,2,5,2,0,1,0,0,0,0,0
Northumberland,122367,St Benet Biscop Catholic Voluntary Aided High School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,14,1,0,2,0,5,3,2,1,0,0
Somerset,123862,Frome Community College,Community School,Applied GCE AS level Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124408,King Edward VI School,Community School,Applied GCE AS level Double Award,Applied Art & Design,7,4,0,1,2,0,0,0,0,0,0
Staffordshire,124425,Cheslyn Hay Sport and Community High School,Community School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124430,Thomas Alleyne's High School,Community School,Applied GCE AS level Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124802,Thurston Community College,Community School,Applied GCE AS level Double Award,Health & Social Care,7,0,1,3,1,0,1,0,0,1,0
Suffolk,124818,Stowmarket High School,Community School,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124861,St Benedict's Catholic School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125748,North Leamington School,Community School,Applied GCE AS level Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126081,The Angmering School,Community School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,0,1,1,2,2,0,0,0
West Sussex,126088,Imberhorne School,Community School,Applied GCE AS level Double Award,Applied Art & Design,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126088,Imberhorne School,Community School,Applied GCE AS level Double Award,Health & Social Care,10,0,0,0,3,1,3,3,0,0,0
West Sussex,126088,Imberhorne School,Community School,Applied GCE AS level Double Award,Travel & Tourism,6,0,0,2,2,2,0,0,0,0,0
West Sussex,126089,Sackville School,Community School,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,0,2,1,2,0,1,0,0
Wiltshire,126448,Melksham Oak Community School,Community School,Applied GCE AS level Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126448,Melksham Oak Community School,Community School,Applied GCE AS level Double Award,Applied ICT,12,1,1,1,5,3,0,1,0,0,0
West Sussex,129383,Central Sussex College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,129383,Central Sussex College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,130416,Christ The King Sixth Form College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied Science,25,0,0,0,0,2,3,7,6,4,3
Lewisham,130416,Christ The King Sixth Form College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,21,0,0,1,4,6,1,2,3,4,0
Tower Hamlets,130418,Tower Hamlets College,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,130418,Tower Hamlets College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,130425,Barnet and Southgate College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,130427,Woodhouse College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Business,19,4,4,3,1,3,2,1,1,0,0
Barnet,130427,Woodhouse College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied ICT,9,0,0,1,3,1,1,2,0,1,0
Brent,130429,The College of North West London,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,130432,Croydon College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,130440,Stanmore College,Tertiary College,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Havering,130444,Havering College of Further and Higher Education,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Science,10,0,0,0,0,1,1,3,3,0,2
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,27,0,1,5,6,5,3,2,4,1,0
Newham,130451,Newham College of Further Education,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
