"Number of students passing an OCR Cambridge national diploma or certificate by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number passed,Distinction,Merit,Pass
Lancashire,130740,Preston College,Tertiary College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Northamptonshire,130769,Northampton College,General Further Education College,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Northumberland,130773,Northumberland College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Northumberland,130773,Northumberland College,General Further Education College,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Nottinghamshire,130779,North Nottinghamshire College,General Further Education College,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Surrey,130822,North East Surrey College of Technology,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Warwickshire,130836,North Warwickshire and Hinckley College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
West Sussex,130842,"Northbrook College, Sussex",General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Swindon,130851,New College Swindon,General Further Education College,OCR National Diploma at Level 3,Tourism,2,Supp,Supp,Supp
"Bristol, City of",131094,City of Bristol College,General Further Education College,OCR National Extended Diploma at Level 3,Tourism,1,Supp,Supp,Supp
Liverpool,132119,Auckland College,Independent School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Haringey,133386,Greig City Academy,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,2,Supp,Supp,Supp
Haringey,133386,Greig City Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
East Sussex,133435,Sussex Downs College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Derby,133585,Derby College,Tertiary College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Merton,134003,St Mark's Church of England Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,0,2,4
Oxfordshire,134153,Activate Learning,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
"Bristol, City of",134221,The City Academy Bristol,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Barnet,134798,London Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Lambeth,134815,Lambeth Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,9,3,2,4
Lancashire,135000,Thomas Whitham Sixth Form,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Hillingdon,135004,The Harefield Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
North East Lincolnshire,135176,Oasis Academy Immingham,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,7,4,3,0
North East Lincolnshire,135176,Oasis Academy Immingham,Sponsored Academy,OCR National Diploma at Level 3,Business Studies,7,7,0,0
North East Lincolnshire,135176,Oasis Academy Immingham,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
North East Lincolnshire,135176,Oasis Academy Immingham,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Sandwell,135234,George Salter Academy,Sponsored Academy,OCR National Certificate at Level 3,Learning theory,5,Supp,Supp,Supp
Stockport,135262,Stockport Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,9,5,4,0
Stockport,135262,Stockport Academy,Sponsored Academy,OCR National Certificate at Level 3,Learning theory,6,1,2,3
Stockport,135262,Stockport Academy,Sponsored Academy,OCR National Diploma at Level 3,Learning theory,4,Supp,Supp,Supp
