"Number of students entered for applied A level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*A*,Grade A*A,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Cumbria,112396,Whitehaven School,Community School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112398,St Benedict's Catholic High School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112968,Anthony Gell School,Voluntary Controlled School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,112989,Belper School and Sixth Form Centre,Foundation School,Applied GCE Double Award,Applied Business,6,0,0,0,0,0,2,3,0,0,0,0,1
Derbyshire,112989,Belper School and Sixth Form Centre,Foundation School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,113516,Bideford College,Foundation School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113888,The Blandford School,Voluntary Controlled School,Applied GCE Double Award,Health & Social Care,7,0,2,0,0,0,2,0,0,2,0,1,0
Dorset,113902,Budmouth College,Foundation School,Applied GCE Double Award,Health & Social Care,8,0,0,0,1,0,1,2,1,0,3,0,0
Poole,113907,Poole High School,Foundation School,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Poole,113907,Poole High School,Foundation School,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,3,1,1,2,0,0,0,0
County Durham,114310,Durham Sixth Form Centre,Community School,Applied GCE Double Award,Health & Social Care,19,0,0,2,3,4,4,1,1,3,1,0,0
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,8,0,0,0,2,3,3,0,0,0,0,0,0
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,0,0,0,0,1,3,0,2
