Number of students passing a BTEC certificate by institution subject and grade achieved,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,,
Solihull,104123,Saint Martin's School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Walsall,104248,Brownhills School,Foundation School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Walsall,104248,Brownhills School,Foundation School,BTEC Certificate Level 3,Hospitality / Catering Studies,1,Supp,Supp,Supp,Supp,,
Walsall,104251,Pool Hayes Arts and Community School,Foundation School,BTEC Certificate Level 3,Applied Sciences,2,Supp,Supp,Supp,Supp,,
Walsall,104251,Pool Hayes Arts and Community School,Foundation School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
Walsall,104251,Pool Hayes Arts and Community School,Foundation School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Walsall,104251,Pool Hayes Arts and Community School,Foundation School,BTEC Certificate Level 3,Speech & Drama,1,Supp,Supp,Supp,Supp,,
Walsall,104255,St Francis of Assisi Catholic Technology College,Voluntary Aided School,BTEC Certificate Level 3,Fashion / Textiles Design,3,Supp,Supp,Supp,Supp,,
Walsall,104255,St Francis of Assisi Catholic Technology College,Voluntary Aided School,BTEC Certificate Level 3,Law / Legal Studies,31,27,3,0,1,,
Wolverhampton,104386,Highfields School,Community School,BTEC Certificate Level 3,Health Studies,9,2,4,3,0,,
Wolverhampton,104386,Highfields School,Community School,BTEC Certificate Level 3,Law / Legal Studies,3,Supp,Supp,Supp,Supp,,
Wolverhampton,104386,Highfields School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Wolverhampton,104387,"Deansfield Community School, Specialists In Media Arts",Community School,BTEC Certificate Level 3,Photography,1,Supp,Supp,Supp,Supp,,
Wolverhampton,104389,"Smestow School, A Specialist Sports College",Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Wolverhampton,104390,Coppice Performing Arts School,Community School,BTEC Certificate Level 3,Applied Sciences,3,Supp,Supp,Supp,Supp,,
Wolverhampton,104390,Coppice Performing Arts School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,BTEC Certificate Level 3,Engineering Studies,1,Supp,Supp,Supp,Supp,,
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,BTEC Certificate Level 3,Music Studies (General),1,Supp,Supp,Supp,Supp,,
Wolverhampton,104395,Colton Hills Community School,Community School,BTEC Certificate Level 3,Applied Sciences,2,Supp,Supp,Supp,Supp,,
Wolverhampton,104397,Moreton Community School,Community School,BTEC Certificate Level 3,Photography,2,Supp,Supp,Supp,Supp,,
Wolverhampton,104397,Moreton Community School,Community School,BTEC Certificate Level 3,Public Services,3,Supp,Supp,Supp,Supp,,
Wolverhampton,104397,Moreton Community School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Wolverhampton,104401,Our Lady and St Chad Catholic Sports College,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
