"Number of students passing a BTEC diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Enfield,102045,Winchmore School,Community School,Pearson BTEC Level 3 Diploma,Speech & Drama,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102048,Enfield County School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102049,Chace Community School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102053,St Anne's Catholic High School for Girls,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102056,Broomfield School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,6,1,2,1,1,1,0,0
Enfield,102056,Broomfield School,Foundation School,Pearson BTEC Level 3 Diploma,Health Studies,7,0,1,1,1,3,0,1
Enfield,102056,Broomfield School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Haringey,102154,Highgate Wood Secondary School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,102449,Abbotsfield School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
