Information on the schools and colleges which are eligible to be included in the 2014 performance tables underlying data,,,,,,,,
,,,,,,,,
NA: not applicable,,,,,,,,
Local Authority number,Local Authority name,LAESTAB: local authority establishment number,URN: Unique Reference Number,School or college name,Institution Type,Admissions policy (state-funded institutions only),Gender of Sixth Form,Number of students at the end of KS5
835,Dorset,8354177,136649,Twynham School,Academy - converter mainstream,COMP,MIXED,179
835,Dorset,8355406,136763,Highcliffe School,Academy - converter mainstream,COMP,MIXED,108
835,Dorset,8354615,137163,The Thomas Hardye School,Academy - converter mainstream,COMP,MIXED,347
835,Dorset,8354000,138388,Isle of Portland Aldridge Community Academy,Academy sponsor led,COMP,MIXED,0
835,Dorset,8354512,138471,The Gryphon School,Academy - converter mainstream,COMP,MIXED,188
836,Poole,8364610,113893,"St Edward's Roman Catholic/Church of England School, Poole",Voluntary aided school,COMP,MIXED,68
836,Poole,8365407,113907,Poole High School,Foundation school,COMP,MIXED,108
836,Poole,8366000,113922,Canford School,Independent,,MIXED,135
836,Poole,8368000,130652,The Bournemouth and Poole College,General Further Education College,NA,MIXED,757
836,Poole,8366905,136206,St Aldhelm's Academy,Academy sponsor led,COMP,MIXED,0
836,Poole,8365403,136368,Parkstone Grammar School,Academy - converter mainstream,SEL,GIRLS,147
836,Poole,8365410,136574,Corfe Hills School,Academy - converter mainstream,COMP,MIXED,176
836,Poole,8365409,136850,Poole Grammar School,Academy - converter mainstream,SEL,BOYS,138
836,Poole,8364001,139711,Magna Academy,Academy sponsor led,COMP,MIXED,32
837,Bournemouth,8376002,113937,Bournemouth Collegiate School,Independent,,MIXED,30
837,Bournemouth,8376001,113945,Talbot Heath School,Independent,,GIRLS,32
837,Bournemouth,8376906,136125,The Bourne Academy,Academy sponsor led,COMP,MIXED,0
837,Bournemouth,8375405,136996,Bournemouth School for Girls,Academy - converter mainstream,SEL,GIRLS,140
837,Bournemouth,8375408,137349,St Peter's Catholic Comprehensive School,Academy - converter mainstream,COMP,MIXED,159
837,Bournemouth,8375400,137452,Bournemouth School,Academy - converter mainstream,SEL,MIXED,167
837,Bournemouth,8375404,138193,Avonbourne College,Academy - converter mainstream,MOD,,25
837,Bournemouth,8376009,138333,Kings Bournemouth,Independent,,MIXED,12
837,Bournemouth,8374000,138385,Leaf Studio,Free school –studio school,COMP,MIXED,85
837,Bournemouth,8374189,139037,Oak Academy,Academy - converter mainstream,MOD,MIXED,43
840,County Durham,8404042,114287,Roseberry College & Sixth Form,Community school,COMP,MIXED,20
840,County Durham,8404139,114297,Wolsingham School and Community College,Community school,COMP,MIXED,49
840,County Durham,8404154,114300,Whitworth Park School and Sixth Form College,Foundation school,COMP,MIXED,32
840,County Durham,8404191,114310,Durham Sixth Form Centre,Community school,NA,MIXED,336
840,County Durham,8404192,114311,Durham Community Business College for Technology and Enterprise,Community school,COMP,MIXED,27
840,County Durham,8404200,114312,Durham Johnston Comprehensive School,Community school,COMP,MIXED,155
840,County Durham,8404691,114326,St Leonard's Roman Catholic Voluntary Aided Comprehensive School,Voluntary aided school,COMP,MIXED,138
840,County Durham,8404693,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary aided school,COMP,MIXED,61
840,County Durham,8406004,114330,Durham High School for Girls,Independent,,GIRLS,38
840,County Durham,8406000,114331,Durham School,Independent,,MIXED,71
840,County Durham,8406003,114336,Barnard Castle School,Independent,,MIXED,81
840,County Durham,8408002,130657,Bishop Auckland College,General Further Education College,NA,MIXED,95
840,County Durham,8408003,130658,Derwentside College,Tertiary College,NA,MIXED,38
840,County Durham,8408004,130659,New College Durham,General Further Education College,NA,MIXED,665
840,County Durham,8408008,131859,East Durham College,General Further Education College,NA,MIXED,240
840,County Durham,8404054,136683,The Hermitage Academy,Academy - converter mainstream,COMP,MIXED,93
840,County Durham,8404000,136745,The North Durham Academy,Academy sponsor led,COMP,MIXED,0
840,County Durham,8404178,136770,King James I Academy Bishop Auckland,Academy - converter mainstream,COMP,MIXED,46
840,County Durham,8404047,136971,Park View School,Academy - converter mainstream,COMP,MIXED,109
840,County Durham,8404174,137153,Teesdale School,Academy - converter mainstream,COMP,MIXED,52
840,County Durham,8404001,137638,Consett Academy,Academy sponsor led,COMP,MIXED,0
840,County Durham,8404190,137696,Framwellgate School Durham,Academy - converter mainstream,COMP,MIXED,72
840,County Durham,8404681,137702,St John's School & Sixth Form College - A Catholic Academy,Academy - converter mainstream,COMP,MIXED,153
840,County Durham,8404694,138172,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",Academy - converter mainstream,COMP,MIXED,151
841,Darlington,8416000,114329,Polam Hall School,Independent,,MIXED,20
841,Darlington,8418000,130656,Darlington College,General Further Education College,NA,MIXED,520
841,Darlington,8418600,130662,Queen Elizabeth Sixth Form College,Sixth Form College,NA,MIXED,824
841,Darlington,8414603,137622,Carmel College,Academy - converter mainstream,COMP,MIXED,132
845,East Sussex,8454028,114587,Heathfield Community College,Community school,COMP,MIXED,96
845,East Sussex,8454037,114590,Uckfield Community Technology College,Community school,COMP,MIXED,115
845,East Sussex,8454038,114591,Uplands Community College,Community school,COMP,MIXED,64
845,East Sussex,8456018,114622,Battle Abbey School,Independent,,MIXED,29
845,East Sussex,8456037,114625,Michael Hall School,Independent,,MIXED,16
845,East Sussex,8456035,114627,St Leonards-Mayfield School,Independent,,GIRLS,45
845,East Sussex,8456032,114634,Lewes Old Grammar School,Independent,,MIXED,26
845,East Sussex,8456014,114650,Eastbourne College,Independent,,MIXED,133
845,East Sussex,8456015,114651,Moira House Girls' School,Independent,,GIRLS,38
845,East Sussex,8456031,114656,Buckswood School,Independent,,MIXED,55
845,East Sussex,8456006,114657,Bede's Senior School,Independent,,MIXED,149
845,East Sussex,8456017,114659,Greenfields School,Independent,,MIXED,2
845,East Sussex,8458005,130665,Sussex Coast College Hastings,General Further Education College,NA,MIXED,298
845,East Sussex,8458300,130667,Plumpton College,Agriculture and Horticulture College,NA,MIXED,191
845,East Sussex,8458602,130670,Bexhill College,Sixth Form College,NA,MIXED,593
845,East Sussex,8458009,133435,Sussex Downs College,General Further Education College,NA,MIXED,1336
845,East Sussex,8454041,137232,Ringmer Community College,Academy - converter mainstream,COMP,MIXED,9
845,East Sussex,8454026,137982,Beacon Community College,Academy - converter mainstream,COMP,MIXED,117
845,East Sussex,8454027,138472,Hailsham Community College,Academy - converter mainstream,COMP,MIXED,66
845,East Sussex,8454036,138473,Seaford Head School,Academy - converter mainstream,COMP,MIXED,0
845,East Sussex,8454001,139689,Rye Studio School,Free school –studio school,COMP,MIXED,0
845,East Sussex,8454003,139821,ARK William Parker Academy,Academy sponsor led,COMP,BOYS,56
845,East Sussex,8454055,139996,Helenswood Academy,Academy - converter mainstream,COMP,GIRLS,66
846,Brighton and Hove,8464067,114606,Blatchington Mill School and Sixth Form College,Community school,COMP,MIXED,51
846,Brighton and Hove,8464068,114607,Hove Park School and Sixth Form Centre,Community school,COMP,MIXED,37
846,Brighton and Hove,8464605,114611,Cardinal Newman Catholic School,Voluntary aided school,COMP,MIXED,172
846,Brighton and Hove,8466008,114614,Brighton College,Independent,,MIXED,195
846,Brighton and Hove,8466006,114616,Roedean School,Independent,,GIRLS,79
846,Brighton and Hove,8467003,114619,Hamilton Lodge School for Deaf Children,Non-maintained special school,,MIXED,1
846,Brighton and Hove,8466014,114658,Brighton and Hove High School,Independent,,GIRLS,33
846,Brighton and Hove,8466009,114664,Bellerbys College Brighton,Independent,,MIXED,80
846,Brighton and Hove,8468002,130663,City College Brighton and Hove,General Further Education College,NA,MIXED,586
846,Brighton and Hove,8468600,130668,Varndean College,Sixth Form College,NA,MIXED,581
846,Brighton and Hove,8468601,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form College,NA,MIXED,929
846,Brighton and Hove,8466905,136164,Brighton Aldridge Community Academy,Academy sponsor led,COMP,MIXED,8
846,Brighton and Hove,8464001,137063,Portslade Aldridge Community Academy,Academy sponsor led,COMP,MIXED,13
850,Hampshire,8504166,116433,Yateley School,Community school,COMP,MIXED,151
850,Hampshire,8506035,116515,Hampshire Collegiate School,Independent,,MIXED,30
850,Hampshire,8506020,116517,Farnborough Hill,Independent,,GIRLS,40
850,Hampshire,8506064,116521,Lord Wandsworth College,Independent,,MIXED,53
850,Hampshire,8506007,116527,Bedales School,Independent,,MIXED,87
850,Hampshire,8506037,116532,Winchester College,Independent,,BOYS,143
850,Hampshire,8506038,116534,St Swithun's School,Independent,,GIRLS,65
850,Hampshire,8506073,116537,Alton Convent School,Independent,,GIRLS,21
850,Hampshire,8506022,116543,Salesian College,Independent,,MIXED,64
850,Hampshire,8506069,116574,Brockwood Park School,Independent,,MIXED,6
850,Hampshire,8506040,116579,Churcher's College,Independent,,MIXED,101
850,Hampshire,8506062,116594,St Michael's School,Independent,,BOYS,4
850,Hampshire,8508001,130688,Basingstoke College of Technology,General Further Education College,NA,MIXED,552
850,Hampshire,8508002,130689,Farnborough College of Technology,General Further Education College,NA,MIXED,406
850,Hampshire,8508003,130690,Brockenhurst College,Tertiary College,NA,MIXED,1126
850,Hampshire,8508605,130691,Alton College,Sixth Form College,NA,MIXED,779
850,Hampshire,8508005,130692,Eastleigh College,General Further Education College,NA,MIXED,276
850,Hampshire,8508006,130693,Fareham College,General Further Education College,NA,MIXED,325
850,Hampshire,8508008,130695,The South Downs College,General Further Education College,NA,MIXED,1569
850,Hampshire,8508300,130698,Sparsholt College Hampshire,Agriculture and Horticulture College,NA,MIXED,681
850,Hampshire,8508600,130699,Totton College,Sixth Form College,NA,MIXED,261
850,Hampshire,8508601,130700,Queen Mary's College,Sixth Form College,NA,MIXED,762
850,Hampshire,8508602,130701,Barton Peveril Sixth Form College,Sixth Form College,NA,MIXED,998
850,Hampshire,8508603,130702,Havant College,Sixth Form College,NA,MIXED,423
850,Hampshire,8508604,130703,The Sixth Form College Farnborough,Sixth Form College,NA,MIXED,1507
850,Hampshire,8508606,130705,St Vincent College,Sixth Form College,NA,MIXED,225
850,Hampshire,8508609,130708,Peter Symonds College,Sixth Form College,NA,MIXED,1654
850,Hampshire,8505402,136652,The Arnewood School Academy,Academy - converter mainstream,COMP,MIXED,123
850,Hampshire,8505403,136657,Ringwood School Academy,Academy - converter mainstream,COMP,MIXED,140
850,Hampshire,8505401,136719,The Burgate School and Sixth Form,Academy - converter mainstream,COMP,MIXED,132
850,Hampshire,8505411,137345,Oaklands Catholic School,Academy - converter mainstream,COMP,MIXED,91
850,Hampshire,8505408,137791,Bay House School,Academy - converter mainstream,COMP,MIXED,197
850,Hampshire,8504005,138585,The New Forest Academy,Academy sponsor led,COMP,MIXED,8
851,Portsmouth,8516003,116581,Portsmouth High School,Independent,,GIRLS,40
851,Portsmouth,8516001,116582,St John's College,Independent,,MIXED,37
851,Portsmouth,8516004,116583,The Portsmouth Grammar School,Independent,,MIXED,148
851,Portsmouth,8518014,130697,Highbury College,General Further Education College,NA,MIXED,245
851,Portsmouth,8518607,130706,Portsmouth College,Sixth Form College,NA,MIXED,306
851,Portsmouth,8516905,135965,Charter Academy,Academy sponsor led,COMP,MIXED,0
852,Southampton,8524278,116458,Bitterne Park School,Community school,COMP,MIXED,44
852,Southampton,8526006,116580,King Edward VI School,Independent,,MIXED,110
852,Southampton,8528011,130696,Southampton City College,General Further Education College,NA,MIXED,159
852,Southampton,8528605,130704,Itchen College,Sixth Form College,NA,MIXED,516
852,Southampton,8528608,130707,Richard Taunton Sixth Form College,Sixth Form College,NA,MIXED,382
852,Southampton,8525417,138476,St Anne's Catholic School,Academy - converter mainstream,COMP,GIRLS,70
852,Southampton,8524002,139591,Inspire Enterprise Academy,Free school –studio school,COMP,GIRLS,5
855,Leicestershire,8554002,120236,Charnwood College (Upper),Foundation school,COMP,MIXED,113
855,Leicestershire,8554039,120261,Longslade Community College,Community school,COMP,MIXED,125
855,Leicestershire,8554056,120274,Hind Leys Community College,Community school,COMP,MIXED,72
855,Leicestershire,8554059,120276,William Bradford Community College,Community school,COMP,MIXED,28
855,Leicestershire,8556001,120316,Ratcliffe College,Independent,,MIXED,63
855,Leicestershire,8556008,120317,Our Lady's Convent School,Independent,,GIRLS,18
855,Leicestershire,8556006,120331,Twycross House School,Independent,,MIXED,25
855,Leicestershire,8556012,120332,Loughborough Grammar School,Independent,,BOYS,143
855,Leicestershire,8556009,120333,Loughborough High School,Independent,,GIRLS,75
855,Leicestershire,8556018,120334,Leicester Grammar School Trust,Independent,,MIXED,118
855,Leicestershire,8556004,120339,Dixie Grammar School,Independent,,MIXED,36
855,Leicestershire,8556005,120341,Brooke House College,Independent,,MIXED,34
855,Leicestershire,8558000,130747,Stephenson College,General Further Education College,NA,MIXED,141
855,Leicestershire,8558002,130748,Loughborough College,General Further Education College,NA,MIXED,553
855,Leicestershire,8558004,130750,South Leicestershire College,General Further Education College,NA,MIXED,158
855,Leicestershire,8558300,130754,Brooksby Melton College,General Further Education College (Special),NA,MIXED,232
855,Leicestershire,8558301,130784,"Welbeck, the Defence Sixth Form College",College funded by MOD,NA,MIXED,125
855,Leicestershire,8554003,137161,The Robert Smyth Academy,Academy - converter mainstream,COMP,MIXED,150
855,Leicestershire,8554004,137317,Stephenson Studio School,Free school –studio school,COMP,MIXED,5
855,Leicestershire,8554044,137617,John Ferneley College,Academy - converter mainstream,COMP,MIXED,0
855,Leicestershire,8554505,137640,Rawlins Academy,Academy - converter mainstream,COMP,MIXED,184
855,Leicestershire,8554048,137969,Bosworth Academy,Academy - converter mainstream,COMP,MIXED,187
855,Leicestershire,8554049,137983,Wreake Valley Academy,Academy - converter mainstream,COMP,MIXED,101
855,Leicestershire,8554503,138150,Lutterworth College,Academy - converter mainstream,COMP,MIXED,271
855,Leicestershire,8554006,138223,The Midland Studio College Hinckley,Free school –studio school,COMP,MIXED,6
855,Leicestershire,8554601,138298,De Lisle Catholic School Loughborough Leicestershire,Academy - converter mainstream,COMP,MIXED,96
855,Leicestershire,8554501,138344,John Cleveland College,Academy - converter mainstream,COMP,MIXED,234
855,Leicestershire,8554050,138524,Countesthorpe Community College,Academy - converter mainstream,COMP,MIXED,149
855,Leicestershire,8554052,138627,Groby Community College,Academy - converter mainstream,COMP,MIXED,94
855,Leicestershire,8555400,138628,Long Field Academy,Academy - converter mainstream,COMP,MIXED,0
855,Leicestershire,8554036,138819,Belvoir High School and Melton Vale Post 16 Centre,Academy - converter mainstream,COMP,MIXED,188
855,Leicestershire,8554001,138821,King Edward VII Science and Sport College,Academy - converter mainstream,COMP,MIXED,112
855,Leicestershire,8554508,138833,Ashby School,Academy - converter mainstream,COMP,MIXED,252
855,Leicestershire,8554033,138894,Guthlaxton College Wigston,Academy - converter mainstream,COMP,MIXED,128
855,Leicestershire,8554045,139624,Beauchamp College,Academy - converter mainstream,COMP,MIXED,415
856,Leicester,8564273,120297,The City of Leicester College,Community school,COMP,MIXED,142
856,Leicester,8564721,120306,English Martyrs Catholic School,Voluntary aided school,COMP,MIXED,60
856,Leicester,8564723,120307,Saint Paul's Catholic School,Voluntary aided school,COMP,MIXED,57
856,Leicester,8566009,120324,Leicester High School for Girls,Independent,,GIRLS,38
856,Leicester,8566004,120345,Darul Uloom Leicester,Independent,,BOYS,2
856,Leicester,8568600,130755,Gateway Sixth Form College,Sixth Form College,NA,MIXED,424
856,Leicester,8568601,130756,Wyggeston and Queen Elizabeth I College,Sixth Form College,NA,MIXED,1000
856,Leicester,8568602,130757,Regent College,Sixth Form College,NA,MIXED,307
856,Leicester,8568008,131863,Leicester College co Freemen's Park Campus,General Further Education College,NA,MIXED,741
856,Leicester,8564005,131945,New College Leicester,Foundation school,COMP,MIXED,12
856,Leicester,8566024,138376,Leicester Montessori Sixth Form College,Independent,,MIXED,2
857,Rutland,8576002,120320,Uppingham School,Independent,,MIXED,168
857,Rutland,8576000,120322,Oakham School,Independent,,MIXED,199
857,Rutland,8575405,137340,Casterton Business & Enterprise College,Academy - converter mainstream,COMP,MIXED,91
860,Staffordshire,8604051,124391,Paulet High School,Community school,COMP,MIXED,50
860,Staffordshire,8604055,124392,"Paget High School, Business and Enterprise College",Community school,COMP,MIXED,53
860,Staffordshire,8604066,124395,Norton Canes High School,Community school,COMP,MIXED,11
860,Staffordshire,8604067,124396,Blythe Bridge High School,Foundation school,COMP,MIXED,59
860,Staffordshire,8604070,124397,Kingsmead School,Foundation school,COMP,MIXED,75
860,Staffordshire,8604072,124399,Moorside High School,Community school,COMP,MIXED,162
860,Staffordshire,8604075,124400,Codsall Community High School,Community school,COMP,MIXED,137
860,Staffordshire,8604079,124402,Great Wyrley High School,Community school,COMP,MIXED,51
860,Staffordshire,8604082,124403,Clough Hall Technology School,Community school,COMP,MIXED,25
860,Staffordshire,8604083,124404,Edgecliff High School,Community school,COMP,MIXED,26
860,Staffordshire,8604085,124406,Leek High Specialist Technology School,Foundation school,COMP,MIXED,23
860,Staffordshire,8604086,124407,Westwood College,Foundation school,COMP,MIXED,109
860,Staffordshire,8604087,124408,King Edward VI School,Community school,COMP,MIXED,132
860,Staffordshire,8604089,124409,Nether Stowe School A Specialist Mathematics & Computing College,Community school,COMP,MIXED,40
860,Staffordshire,8604100,124415,Wolgarston High School,Community school,COMP,MIXED,84
860,Staffordshire,8604111,124416,Walton High School,Community school,COMP,MIXED,139
860,Staffordshire,8604122,124419,Ounsdale High School,Community school,COMP,MIXED,54
860,Staffordshire,8604126,124422,The Friary School,Community school,COMP,MIXED,84
860,Staffordshire,8604140,124425,Cheslyn Hay Sport and Community High School,Community school,COMP,MIXED,92
860,Staffordshire,8604146,124430,Thomas Alleyne's High School,Community school,COMP,MIXED,157
860,Staffordshire,8604178,124443,Chase Terrace Technology College,Community school,COMP,MIXED,95
860,Staffordshire,8604180,124444,Sir Graham Balfour High School,Community school,COMP,MIXED,52
860,Staffordshire,8604181,124445,King Edward VI High School,Community school,COMP,MIXED,46
860,Staffordshire,8604500,124449,Abbot Beyne School,Voluntary controlled school,COMP,MIXED,60
860,Staffordshire,8604607,124455,Blessed William Howard Catholic School,Voluntary aided school,COMP,MIXED,56
860,Staffordshire,8604710,124459,Blessed Robert Sutton Catholic Sports College,Voluntary aided school,COMP,MIXED,44
860,Staffordshire,8604713,124461,St John Fisher Catholic College,Voluntary aided school,COMP,MIXED,61
860,Staffordshire,8605402,124467,Stafford Sports College,Foundation school,COMP,MIXED,11
860,Staffordshire,8605403,124468,Cardinal Griffin Catholic High School,Voluntary aided school,COMP,MIXED,62
860,Staffordshire,8606013,124470,Abbots Bromley School for Girls,Independent,,GIRLS,9
860,Staffordshire,8606005,124471,St Dominic's High School for Girls,Independent,,GIRLS,10
860,Staffordshire,8606003,124473,Denstone College,Independent,,MIXED,84
860,Staffordshire,8606012,124474,Lichfield Cathedral School,Independent,,MIXED,23
860,Staffordshire,8606011,124476,St Dominic's Priory School,Independent,,GIRLS,6
860,Staffordshire,8606008,124486,Chase Grammar School,Independent,,MIXED,14
860,Staffordshire,8606015,124487,Newcastle-under-Lyme School,Independent,,MIXED,80
860,Staffordshire,8606009,124489,Stafford Grammar School,Independent,,MIXED,46
860,Staffordshire,8608007,130809,Burton and South Derbyshire College,General Further Education College,NA,MIXED,478
860,Staffordshire,8608012,130812,Newcastle-under-Lyme College,Tertiary College,NA,MIXED,943
860,Staffordshire,8608013,130813,Stafford College,General Further Education College,NA,MIXED,724
860,Staffordshire,8606023,131695,Chase Grammar School International Study Centre,Independent,,MIXED,23
860,Staffordshire,8604903,133104,The Moorlands Sixth Form College,,,,162
860,Staffordshire,8608015,135658,South Staffordshire College,General Further Education College,NA,MIXED,590
860,Staffordshire,8604061,136323,John Taylor High School,Academy - converter mainstream,COMP,MIXED,170
860,Staffordshire,8604176,136414,The de Ferrers Academy,Academy - converter mainstream,COMP,MIXED,111
860,Staffordshire,8606444,136685,Martec Training,Independent,,BOYS,1
860,Staffordshire,8605404,136886,Erasmus Darwin Academy,Academy - converter mainstream,COMP,MIXED,68
860,Staffordshire,8604153,136959,The Cheadle Academy,Academy - converter mainstream,COMP,MIXED,162
860,Staffordshire,8604002,137100,Fair Oak Academy,Academy sponsor led,COMP,MIXED,58
860,Staffordshire,8604003,137103,Hagley Park Academy,Academy sponsor led,COMP,MIXED,58
860,Staffordshire,8604005,137164,Staffordshire University Academy,Academy sponsor led,COMP,MIXED,34
860,Staffordshire,8604143,137356,Biddulph High School,Academy - converter mainstream,COMP,MIXED,98
860,Staffordshire,8605401,137384,Cannock Chase High School,Academy - converter mainstream,COMP,MIXED,85
860,Staffordshire,8604183,137553,The Weston Road Academy,Academy - converter mainstream,COMP,MIXED,42
860,Staffordshire,8604007,138351,The Rural Enterprise Academy,Free school – mainstream,COMP,MIXED,0
860,Staffordshire,8604610,138729,Painsley Catholic College,Academy - converter mainstream,COMP,MIXED,162
860,Staffordshire,8604904,138978,Rugeley Sixth Form Academy,,,,58
860,Staffordshire,8606906,139234,The JCB Academy,Free school – UTC,COMP,MIXED,60
860,Staffordshire,8604084,139708,University Academy Kidsgrove,Academy - converter mainstream,COMP,MIXED,25
860,Staffordshire,8604112,140123,Alleyne's Academy,Academy - converter mainstream,COMP,MIXED,81
860,Staffordshire,8604011,141491,Landau Forte Sixth Form College,Academy 16-19 sponsor led,UK,,204
861,Stoke-on-Trent,8615400,124465,St Thomas More Catholic College,Voluntary aided school,COMP,MIXED,43
861,Stoke-on-Trent,8618015,130815,Stoke-on-Trent College,General Further Education College,NA,MIXED,282
861,Stoke-on-Trent,8618600,130817,City of Stoke-on-Trent Sixth Form College,Sixth Form College,NA,MIXED,649
861,Stoke-on-Trent,8615901,136460,St Joseph's College,Academy - converter mainstream,SEL,MIXED,170
861,Stoke-on-Trent,8614712,136680,Ormiston Horizon Academy,Academy sponsor led,COMP,MIXED,0
861,Stoke-on-Trent,8614001,138256,Stoke Studio College for Construction and Building Excellence,Free school –studio school,COMP,BOYS,8
861,Stoke-on-Trent,8614003,139590,Stoke Studio College for Manufacturing and Design Engineering,Free school –studio school,COMP,BOYS,1
861,Stoke-on-Trent,8614711,140149,St Margaret Ward Catholic Academy,Academy - converter mainstream,COMP,MIXED,45
865,Wiltshire,8654013,126448,Melksham Oak Community School,Community school,COMP,MIXED,63
865,Wiltshire,8654071,126459,Avon Valley College,Foundation school,COMP,MIXED,30
865,Wiltshire,8655415,126510,Matravers School,Foundation school,COMP,MIXED,47
865,Wiltshire,8656001,126512,Stonar School,Independent,,GIRLS,21
865,Wiltshire,8656016,126513,St Mary's School (Snr) and St Margaret's School (Prep),Independent,,GIRLS,52
865,Wiltshire,8656013,126516,Marlborough College,Independent,,MIXED,201
865,Wiltshire,8656006,126519,The Godolphin School,Independent,,GIRLS,43
865,Wiltshire,8656009,126522,Warminster School,Independent,,MIXED,57
865,Wiltshire,8656007,126532,Dauntsey's School,Independent,,MIXED,123
865,Wiltshire,8654000,131969,Abbeyfield School,Community school,COMP,MIXED,57
865,Wiltshire,8658001,132779,Wiltshire College,General Further Education College,NA,MIXED,718
865,Wiltshire,8656037,134460,Focus School - Wilton Campus,Independent,,MIXED,20
865,Wiltshire,8656905,135804,The Wellington Academy,Academy sponsor led,COMP,MIXED,70
865,Wiltshire,8656906,136183,Sarum Academy,Academy sponsor led,COMP,MIXED,39
865,Wiltshire,8655414,136296,Hardenhuish School,Academy - converter mainstream,COMP,MIXED,148
865,Wiltshire,8655412,136391,South Wilts Grammar School for Girls,Academy - converter mainstream,SEL,GIRLS,174
865,Wiltshire,8655413,136500,Bishop Wordsworth's Grammar School,Academy - converter mainstream,SEL,BOYS,148
865,Wiltshire,8654066,136611,The Corsham School,Academy - converter mainstream,COMP,MIXED,88
865,Wiltshire,8655404,136632,Sheldon School,Academy - converter mainstream,COMP,MIXED,182
865,Wiltshire,8654067,136911,Royal Wootton Bassett Academy,Academy - converter mainstream,COMP,MIXED,101
865,Wiltshire,8654537,137057,St Laurence School,Academy - converter mainstream,COMP,MIXED,111
865,Wiltshire,8654072,137230,Warminster Kingdown,Academy - converter mainstream,COMP,MIXED,123
865,Wiltshire,8654064,137308,Malmesbury School,Academy - converter mainstream,COMP,MIXED,85
865,Wiltshire,8655400,137375,St Augustine's Catholic College,Academy - converter mainstream,COMP,MIXED,96
865,Wiltshire,8655406,137650,The John Bentley School,Academy - converter mainstream,COMP,MIXED,60
865,Wiltshire,8654075,138020,The John of Gaunt School,Academy - converter mainstream,COMP,MIXED,67
865,Wiltshire,8655405,138623,St John's Marlborough,Academy - converter mainstream,COMP,MIXED,144
865,Wiltshire,8655411,138630,Devizes School,Academy - converter mainstream,COMP,MIXED,88
865,Wiltshire,8654002,138885,The Clarendon Academy,Academy sponsor led,COMP,MIXED,53
866,Swindon,8668002,130849,Swindon College,General Further Education College,NA,MIXED,431
866,Swindon,8668004,130851,New College Swindon,General Further Education College,NA,MIXED,582
866,Swindon,8666905,135364,Swindon Academy,Academy sponsor led,COMP,MIXED,158
866,Swindon,8665409,136980,St Joseph's Catholic College,Academy - converter mainstream,COMP,MIXED,54
866,Swindon,8665417,137160,The Ridgeway School & Sixth Form College,Academy - converter mainstream,COMP,MIXED,87
867,Bracknell Forest,8674030,110047,The Brakenhale School,Community school,COMP,MIXED,36
867,Bracknell Forest,8674032,110049,Edgbarrow School,Community school,COMP,MIXED,136
867,Bracknell Forest,8674058,110068,Sandhurst School,Community school,COMP,MIXED,38
867,Bracknell Forest,8674059,110069,Garth Hill College,Community school,COMP,MIXED,57
867,Bracknell Forest,8674061,110071,Easthampstead Park Community School,Community school,COMP,MIXED,36
867,Bracknell Forest,8676000,110117,Heathfield School,Independent,,GIRLS,23
867,Bracknell Forest,8676001,110125,Wellington College,Independent,,MIXED,232
867,Bracknell Forest,8676005,110159,LVS Ascot,Independent,,MIXED,57
867,Bracknell Forest,8678006,130603,Bracknell and Wokingham College,General Further Education College,NA,MIXED,278
867,Bracknell Forest,8674603,137267,Ranelagh School,Academy - converter mainstream,COMP,MIXED,99
868,Windsor and Maidenhead,8684036,110051,Newlands Girls' School,Community school,COMP,GIRLS,94
868,Windsor and Maidenhead,8684044,110056,The Windsor Boys' School,Community school,COMP,BOYS,108
868,Windsor and Maidenhead,8684046,110057,Windsor Girls' School,Community school,COMP,GIRLS,75
868,Windsor and Maidenhead,8686001,110119,St George's School,Independent,,GIRLS,36
868,Windsor and Maidenhead,8686002,110120,St Mary's School Ascot,Independent,,GIRLS,57
868,Windsor and Maidenhead,8686011,110147,Brigidine School Windsor,Independent,,GIRLS,8
868,Windsor and Maidenhead,8686012,110150,Hurst Lodge School,Independent,,MIXED,2
868,Windsor and Maidenhead,8686013,110152,Marist Senior School,Independent,,GIRLS,22
868,Windsor and Maidenhead,8686014,110153,Claires Court Schools,Independent,,MIXED,49
868,Windsor and Maidenhead,8686016,110158,Eton College,Independent,,BOYS,270
868,Windsor and Maidenhead,8686018,110167,Redroofs School for the Performing Arts,Independent,,MIXED,7
868,Windsor and Maidenhead,8688300,130606,Berkshire College of Agriculture,Agriculture and Horticulture College,NA,MIXED,268
868,Windsor and Maidenhead,8684084,133580,Churchmead Church of England (VA) School,Voluntary aided school,COMP,MIXED,0
868,Windsor and Maidenhead,8684056,137695,Cox Green School,Academy - converter mainstream,COMP,MIXED,38
868,Windsor and Maidenhead,8684055,137740,Furze Platt Senior School,Academy - converter mainstream,COMP,MIXED,115
868,Windsor and Maidenhead,8684506,138342,Altwood CofE Secondary School,Academy - converter mainstream,COMP,MIXED,49
868,Windsor and Maidenhead,8684029,138823,Charters School,Academy - converter mainstream,COMP,MIXED,212
868,Windsor and Maidenhead,8684000,138879,Desborough College,Academy sponsor led,COMP,BOYS,42
869,West Berkshire,8694031,110048,The Willink School,Community school,COMP,MIXED,60
869,West Berkshire,8694034,110050,John O'Gaunt School,Community school,COMP,MIXED,22
