"Number of students passing key skill at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Wirral,135877,Birkenhead High School Academy,Sponsored Academy,Key Skill at Level 3,Teamworking,1,Supp
Coventry,136126,Sidney Stringer Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,2,Supp
Cheshire East,136279,Brine Leas School,Converter Academy,Key Skill at Level 3,Learning Skills,2,Supp
Southwark,136298,The Charter School,Converter Academy,Key Skill at Level 3,Learning Skills,2,Supp
Bromley,136466,Bishop Justus CofE School,Converter Academy,Key Skill at Level 3,Learning Skills,1,Supp
Northamptonshire,136489,Guilsborough School,Converter Academy,Key Skill at Level 3,Learning Skills,64,64
Bromley,136540,The Ravensbourne School,Converter Academy,Key Skill at Level 3,Learning Skills,170,170
Bromley,136540,The Ravensbourne School,Converter Academy,Key Skill at Level 3,Teamworking,89,89
Milton Keynes,136844,The Hazeley Academy,Converter Academy,Key Skill at Level 3,Learning Skills,3,Supp
Milton Keynes,136844,The Hazeley Academy,Converter Academy,Key Skill at Level 3,Teamworking,3,Supp
Coventry,136963,Finham Park School,Converter Academy,Key Skill at Level 3,Learning Skills,2,Supp
Coventry,136963,Finham Park School,Converter Academy,Key Skill at Level 3,Problem Solving,2,Supp
Swindon,136980,St Joseph's Catholic College,Converter Academy,Key Skill at Level 3,Learning Skills,8,8
Swindon,136980,St Joseph's Catholic College,Converter Academy,Key Skill at Level 3,Teamworking,8,8
Birmingham,137034,Holyhead School,Converter Academy,Key Skill at Level 3,Learning Skills,49,49
Birmingham,137034,Holyhead School,Converter Academy,Key Skill at Level 3,Problem Solving,49,49
Birmingham,137034,Holyhead School,Converter Academy,Key Skill at Level 3,Teamworking,49,49
Worcestershire,137167,Trinity High School and Sixth Form Centre,Converter Academy,Key Skill at Level 3,Learning Skills,43,43
Worcestershire,137167,Trinity High School and Sixth Form Centre,Converter Academy,Key Skill at Level 3,Problem Solving,43,43
Worcestershire,137167,Trinity High School and Sixth Form Centre,Converter Academy,Key Skill at Level 3,Teamworking,43,43
Harrow,137178,Bentley Wood High School,Converter Academy,Key Skill at Level 3,Learning Skills,33,33
