"Number of students entering a BTEC award by institution, subject and grade achieved",,,,,,,,
,,,,,,,Grade achieved,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass,No results
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC Award Level 3,Interactive Video,2,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC Award Level 3,Photography,2,Supp,Supp
Swindon,130849,Swindon College,General Further Education College,BTEC Award Level 3,Management Studies / Science,1,Supp,Supp
Swindon,130849,Swindon College,General Further Education College,BTEC Award Level 3,Preparation for Work,7,7,0
Liverpool,131065,North Liverpool Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Wiltshire,132779,Wiltshire College,General Further Education College,BTEC Award Level 3,Electronic / Electrical Engineering,9,9,0
Wiltshire,132779,Wiltshire College,General Further Education College,BTEC Award Level 3,Management Studies / Science,49,49,0
Wiltshire,132779,Wiltshire College,General Further Education College,BTEC Award Level 3,Preparation for Work,33,33,0
East Sussex,133435,Sussex Downs College,General Further Education College,BTEC Award Level 3,Childcare Skills,19,10,7
Derby,133585,Derby College,Tertiary College,BTEC Award Level 3,Preparation for Work,18,18,0
Sheffield,133991,Longley Park Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Preparation for Work,6,6,0
Southwark,134222,City of London Academy (Southwark),Sponsored Academy,BTEC Award Level 3,Childcare Skills,11,0,11
Nottingham,134253,Djanogly City Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,5,Supp,Supp
Enfield,134311,Oasis Academy Enfield,Sponsored Academy,BTEC Award Level 3,Childcare Skills,11,1,0
Sandwell,135170,Shireland Collegiate Academy,Sponsored Academy,BTEC Award Level 3,Preparation for Work,2,Supp,Supp
Kent,135195,Folkestone Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,8,3,3
North East Lincolnshire,135294,Havelock Academy,Sponsored Academy,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
