"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
Hertfordshire,117596,Cheshunt School,Foundation School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117606,St Margaret's School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117616,Merchant Taylors' School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117633,St Edmund's College,Independent School,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117648,Haberdashers' Aske's Boys' School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117649,Haberdashers' Aske's School for Girls,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118081,Woldgate College,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kent,118835,Maidstone Grammar School,Foundation School,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Kent,118884,Simon Langton Grammar School for Boys,Foundation School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kent,118890,The Skinners' School,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kent,118931,Dover Grammar School for Boys,Foundation School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kent,118939,Benenden School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kent,118947,St Lawrence College,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Kent,118958,Sutton Valence School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Lancashire,119818,Rossall School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Leicestershire,120236,Charnwood College (Upper),Foundation School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Leicester,120297,The City of Leicester College,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Leicestershire,120332,Loughborough Grammar School,Independent School,Advanced Extension Award,Mathematics,14,2,9,0,2,1
Leicestershire,120341,Brooke House College,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Lincolnshire,120724,Lincoln Minster School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Norfolk,121185,Fakenham High School and College,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
York,121684,Fulford School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
York,121720,All Saints RC School,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121741,Harrogate Ladies' College,Independent School,Advanced Extension Award,Mathematics,7,1,1,0,5,0
North Yorkshire,121749,Queen Margaret's School,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
North Yorkshire,121758,Ashville College,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Northamptonshire,122149,Bosworth Independent College,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Northumberland,122356,Queen Elizabeth High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Nottingham,122915,Nottingham High School,Independent School,Advanced Extension Award,Mathematics,14,0,5,0,9,0
Oxfordshire,123282,The Oratory School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
