"Number of students passing a BTEC subsidiary diploma (with a single grade structure) by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,5,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,14,10,0,2,2
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Engineering Studies,6,0,2,1,3
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Hospitality / Catering Studies,6,3,1,2,0
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,8,4,0,1,3
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Tourism,5,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Animal Husbandry: Specific Animals,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,40,29,6,2,3
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,42,27,6,7,2
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Dance: General,3,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,6,2,3,0,1
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Hospitality / Catering Studies,3,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,10,2,1,6,1
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports / Movement Science,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,23,5,4,6,8
Barking and Dagenham,101246,The Sydney Russell School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Acting Skills,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),1,Supp,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,3,Supp,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Tourism,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,11,8,3,0,0
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,12,11,0,1,0
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Hospitality / Catering Studies,1,Supp,Supp,Supp,Supp
